,SMCI,NVDA,TSLA,BLDR,MRNA,LLY,PWR,KLAC
2022-05-01,50.060001373291,186.485855102539,252.753326416016,65.0899963378906,145.330001831055,306.933929443359,118.550422668457,356.008483886719
2022-06-01,40.3499984741211,151.399887084961,224.473327636719,53.7000007629395,142.850006103516,318.56982421875,124.86646270752,312.386901855469
2022-07-01,54.0099983215332,181.440567016602,297.149993896484,68,164.089996337891,323.934509277344,138.286697387695,375.494842529297
2022-08-01,65.0800018310547,150.782577514648,275.609985351562,58.6100006103516,132.270004272461,295.971405029297,140.848480224609,336.911468505859
2022-09-01,55.0699996948242,121.263389587402,265.25,58.9199981689453,118.25,318.742370605469,126.982940673828,297.318908691406
2022-10-01,69.5899963378906,134.86930847168,227.539993286133,61.6599998474121,150.330001831055,356.930358886719,141.663635253906,310.896362304688
2022-11-01,90.2300033569336,169.103744506836,194.699996948242,63.9300003051758,175.910003662109,365.792236328125,149.482879638672,386.250305175781
2022-12-01,82.0999984741211,146.068328857422,123.180000305176,64.879997253418,179.619995117188,361.632843017578,142.122421264648,371.684112548828
2023-01-01,72.3300018310547,195.274215698242,173.220001220703,79.6999969482422,176.059997558594,340.192321777344,151.871887207031,386.9150390625
2023-02-01,97.9700012207031,232.046142578125,205.710006713867,84.7799987792969,138.809997558594,307.640991210938,161.062652587891,374.000762939453
2023-03-01,106.550003051758,277.633758544922,207.460006713867,88.7799987792969,153.580001831055,340.569030761719,166.291687011719,394.781341552734
2023-04-01,105.430000305176,277.401031494141,164.309997558594,94.7699966430664,132.889999389648,392.573669433594,169.285415649414,382.290161132812
2023-05-01,223.949996948242,378.218688964844,203.929992675781,115.949996948242,127.709999084473,425.894714355469,177.29753112793,438.119506835938
2023-06-01,249.25,422.884338378906,261.769989013672,136,121.5,466.296447753906,196.137512207031,481.306121826172
2023-07-01,330.269989013672,467.188537597656,267.429992675781,144.429992675781,117.660003662109,451.949005126953,201.381958007812,510.0146484375
2023-08-01,275.079986572266,493.442779541016,258.079986572266,145.039993286133,113.069999694824,551.028747558594,209.622222900391,498.027099609375
2023-09-01,274.220001220703,434.8955078125,250.220001220703,124.48999786377,103.290000915527,535.201293945312,186.849136352539,456.386657714844
2023-10-01,239.470001220703,407.744995117188,200.839996337891,108.519996643066,75.9599990844727,551.94091796875,166.993392944336,467.371948242188
2023-11-01,273.470001220703,467.636962890625,240.080001831055,134.110000610352,77.6999969482422,588.917663574219,188.167343139648,541.920593261719
2023-12-01,284.260009765625,495.153228759766,248.479995727539,166.940002441406,99.4499969482422,581.900024414062,215.636520385742,580.010864257812
2024-01-01,529.609985351562,615.241149902344,187.289993286133,173.729995727539,101.050003051758,644.480346679688,193.983642578125,592.722595214844
2024-02-01,866.119995117188,791.082885742188,201.880004882812,195.179992675781,92.2399978637695,752.361267089844,241.42741394043,680.786865234375
2024-03-01,1010.03002929688,903.517639160156,175.789993286133,208.550003051758,106.559997558594,777.960021972656,259.711151123047,698.570007324219
2024-04-01,858.799987792969,864.02001953125,183.279998779297,182.820007324219,110.309997558594,781.099975585938,258.471588134766,689.289978027344
2024-05-01,762.52001953125,858.169982910156,180.009994506836,188.740005493164,125.589996337891,755.909973144531,255,682.049987792969
2024-05-03,782.700012207031,887.830017089844,181.139999389648,195.809997558594,125,734.969970703125,256.329986572266,696.590026855469
